,HR
1979,73.75
1980,73.85
1981,73.92
1982,73.97
1983,74.02
1984,74.03
1985,73.98
1986,73.9
1987,73.82
1988,73.68
1989,73.65
1990,73.62
1991,73.63
1992,73.67
1993,73.72
1994,73.72
1995,73.85
1996,74.13
1997,74.45
1998,74.8
1999,75.15
2000,75.53
2001,76.0
2002,76.4
2003,76.8
2004,77.2
2005,77.63
2006,78.1
2007,78.6
2008,79.1
2009,79.6
2010,80.12
2011,80.67
2012,81.23
2013,81.77
2014,82.17
2015,82.58
2016,82.98
2017,83.33
2018,83.68
2019,84.07
2020,84.47
2021,84.82
2022,85.15
2023,85.47
2024,85.85
2025,86.18
2026,86.52
2027,86.82
2028,87.08
2029,87.37
2030,87.63
2031,87.98
2032,88.35
2033,88.72
2034,89.03
2035,89.33
2036,89.63
2037,89.97
2038,90.32
2039,90.67
2040,91.03
2041,91.43
2042,91.83
2043,92.23
2044,92.63
2045,93.1
2046,93.57
2047,93.98
2048,94.48
2049,94.8
2050,95.1
2051,95.37
2052,95.65
2053,95.9
2054,96.07
2055,96.2
2056,96.12
2057,95.95
2058,95.67
2059,95.38
2060,95.03
2061,94.55
2062,93.8
2063,93.03
2064,92.32
2065,91.58
2066,90.85
2067,90.13
2068,89.4
2069,88.63
2070,87.85
2071,87.08
2072,86.32
2073,85.52
2074,84.95
2075,84.32
2076,83.8
2077,83.35
2078,83.08
2079,82.8
2080,82.53
2081,82.28
2082,82.0
2083,81.73
2084,81.47
2085,81.2
2086,80.9
2087,80.58
2088,80.25
2089,79.9
2090,79.58
2091,79.2
2092,78.8
2093,78.37
2094,77.97
2095,77.53
2096,77.12
2097,76.63
2098,76.1
2099,75.53
2100,75.02
2101,74.48
2102,73.97
2103,73.47
2104,73.0
2105,72.53
2106,72.1
2107,71.72
2108,71.3
2109,70.97
2110,70.65
2111,70.32
2112,69.95
2113,69.63
2114,69.37
2115,69.03
2116,68.75
2117,68.52
2118,68.33
2119,68.1
2120,67.9
2121,67.65
2122,67.57
2123,67.52
2124,67.5
2125,67.47
2126,67.42
2127,67.33
2128,67.35
2129,67.43
2130,67.55
2131,67.65
2132,67.78
2133,68.0
2134,68.13
2135,68.35
2136,68.43
2137,68.52
2138,68.42
