,HR
1900,72.22
1901,72.13
1902,71.97
1903,71.82
1904,71.67
1905,71.48
1906,71.32
1907,71.17
1908,71.05
1909,70.93
1910,70.82
1911,70.7
1912,70.58
1913,70.47
1914,70.35
1915,70.22
1916,70.08
1917,69.97
1918,69.9
1919,69.85
1920,69.78
1921,69.78
1922,69.82
1923,69.83
1924,69.87
1925,69.85
1926,69.78
1927,69.72
1928,69.65
1929,69.62
1930,69.55
1931,69.5
1932,69.5
1933,69.47
1934,69.43
1935,69.38
1936,69.32
1937,69.3
1938,69.27
1939,69.23
1940,69.17
1941,69.03
1942,68.92
1943,68.77
1944,68.67
1945,68.5
1946,68.38
1947,68.32
1948,68.28
1949,68.28
1950,68.3
1951,68.32
1952,68.32
1953,68.42
1954,68.48
1955,68.62
1956,68.77
1957,68.9
1958,69.02
1959,69.13
1960,69.28
1961,69.45
1962,69.67
1963,69.87
1964,70.02
1965,70.18
1966,70.35
1967,70.37
1968,70.4
1969,70.45
1970,70.48
1971,70.53
1972,70.65
1973,70.75
1974,71.15
1975,71.58
1976,72.05
1977,72.52
1978,73.0
1979,73.47
1980,73.95
1981,74.37
1982,74.8
1983,75.22
1984,75.67
1985,76.1
1986,76.37
1987,76.4
1988,76.42
1989,76.43
1990,76.43
1991,76.42
1992,76.38
1993,76.33
1994,76.28
1995,76.23
1996,76.18
1997,76.15
1998,76.13
1999,76.13
2000,76.1
2001,76.1
2002,76.12
2003,76.17
2004,76.3
2005,76.43
2006,76.55
2007,76.65
2008,76.72
2009,76.72
2010,76.7
2011,76.65
2012,76.6
2013,76.52
2014,76.42
2015,76.25
2016,76.05
2017,75.87
2018,75.67
2019,75.45
2020,75.2
2021,74.95
2022,74.67
2023,74.4
2024,74.18
2025,73.97
2026,73.75
2027,73.68
2028,73.6
2029,73.5
2030,73.42
2031,73.32
2032,73.15
2033,73.03
2034,72.62
2035,72.18
2036,71.72
2037,71.23
2038,70.7
2039,70.18
2040,69.67
2041,69.18
2042,68.7
2043,68.25
2044,67.77
2045,67.35
2046,67.13
2047,67.17
2048,67.22
2049,67.27
2050,67.33
2051,67.38
2052,67.43
2053,67.48
2054,67.53
2055,67.58
2056,67.63
2057,67.67
2058,67.7
2059,67.72
2060,67.75
2061,67.78
2062,67.8
2063,67.8
2064,67.68
2065,67.55
2066,67.43
2067,67.33
2068,67.25
2069,67.2
2070,67.18
2071,67.2
2072,67.23
2073,67.28
2074,67.37
2075,67.43
2076,67.52
2077,67.6
2078,67.7
2079,67.8
2080,67.9
2081,68.0
