dateTime,Heart Rate
01/30/20 16:37:30,115
01/30/20 16:37:35,113
01/30/20 16:37:50,114
01/30/20 16:37:55,113
01/30/20 16:38:00,109
01/30/20 16:38:05,110
01/30/20 16:38:10,113
01/30/20 16:38:15,112
01/30/20 16:38:26,112
01/30/20 16:38:36,113
01/30/20 16:38:41,116
01/30/20 16:38:46,117
01/30/20 16:38:51,115
01/30/20 16:38:56,114
01/30/20 16:41:35,70
01/30/20 16:42:22,70
01/30/20 16:42:27,70
01/30/20 16:42:32,72
01/30/20 16:42:47,72
01/30/20 16:42:57,75
01/30/20 16:43:12,74
01/30/20 16:43:17,74
01/30/20 16:43:22,74
01/30/20 16:43:37,75
01/30/20 16:43:47,74
01/30/20 16:43:52,75
01/30/20 16:43:57,77
01/30/20 16:44:02,77
01/30/20 16:44:07,76
01/30/20 16:44:12,75
01/30/20 16:44:22,76
01/30/20 16:44:27,77
01/30/20 16:44:32,78
01/30/20 16:44:37,77
01/30/20 16:44:52,77
01/30/20 16:44:57,73
01/30/20 16:45:02,70
01/30/20 16:45:07,67
01/30/20 16:45:12,64
01/30/20 16:45:17,62
01/30/20 16:45:22,62
01/30/20 16:45:37,62
01/30/20 16:45:52,62
01/30/20 16:45:57,66
01/30/20 16:46:02,67
01/30/20 16:46:12,68
01/30/20 16:46:22,66
01/30/20 16:46:32,67
01/30/20 16:46:42,68
01/30/20 16:46:47,69
01/30/20 16:46:52,72
01/30/20 16:46:57,74
01/30/20 16:47:02,77
01/30/20 16:47:17,77
01/30/20 16:47:27,77
01/30/20 16:47:42,77
01/30/20 16:47:47,75
01/30/20 16:47:52,73
01/30/20 16:48:07,73
01/30/20 16:48:22,72
01/30/20 16:48:27,75
01/30/20 16:48:32,74
01/30/20 16:48:40,73
01/30/20 16:48:50,72
01/30/20 16:49:05,72
01/30/20 16:49:20,72
01/30/20 16:49:30,71
01/30/20 16:49:35,72
01/30/20 16:49:45,73
01/30/20 16:50:00,73
01/30/20 16:50:05,72
01/30/20 16:50:15,71
01/30/20 16:50:30,70
01/30/20 16:50:40,69
01/30/20 16:50:50,68
01/30/20 16:51:05,70
01/30/20 16:51:10,68
01/30/20 16:51:20,66
01/30/20 16:51:30,66
01/30/20 16:51:40,68
01/30/20 16:51:45,69
01/30/20 16:51:50,70
01/30/20 16:52:05,70
01/30/20 16:52:15,69
01/30/20 16:52:25,73
01/30/20 16:52:30,74
01/30/20 16:52:35,75
01/30/20 16:52:45,76
01/30/20 16:53:00,74
01/30/20 16:53:05,73
01/30/20 16:53:10,74
01/30/20 16:53:25,73
01/30/20 16:53:30,72
01/30/20 16:53:45,72
01/30/20 16:54:00,71
01/30/20 16:54:15,70
01/30/20 16:54:20,77
01/30/20 16:54:25,78
01/30/20 16:54:35,77
01/30/20 16:54:40,78
01/30/20 16:54:45,77
01/30/20 16:54:50,75
01/30/20 16:54:55,73
01/30/20 16:55:00,70
01/30/20 16:55:10,71
01/30/20 16:55:15,72
01/30/20 16:55:25,73
01/30/20 16:55:40,73
01/30/20 16:55:50,74
01/30/20 16:55:55,79
01/30/20 16:56:00,80
01/30/20 16:56:15,80
01/30/20 16:56:25,81
01/30/20 16:56:30,80
01/30/20 16:56:35,79
01/30/20 16:56:40,77
01/30/20 16:56:45,77
01/30/20 16:56:50,76
01/30/20 16:57:00,75
01/30/20 16:57:05,74
01/30/20 16:57:10,73
01/30/20 16:57:20,74
01/30/20 16:57:25,75
01/30/20 16:57:40,75
01/30/20 16:57:50,74
01/30/20 16:58:05,73
01/30/20 16:58:10,72
01/30/20 16:58:15,73
01/30/20 16:58:20,70
01/30/20 16:58:35,70
01/30/20 16:58:45,71
01/30/20 16:58:50,73
01/30/20 16:58:55,76
01/30/20 16:59:00,79
01/30/20 16:59:15,79
01/30/20 16:59:30,79
01/30/20 16:59:35,78
01/30/20 16:59:50,77
01/30/20 16:59:55,76
01/30/20 17:00:00,77
01/30/20 17:00:15,80
01/30/20 17:00:20,83
01/30/20 17:00:25,82
01/30/20 17:00:30,82
01/30/20 17:00:35,81
01/30/20 17:00:50,81
01/30/20 17:01:00,82
01/30/20 17:01:05,81
01/30/20 17:01:15,82
01/30/20 17:01:25,81
01/30/20 17:01:30,80
01/30/20 17:01:35,78
01/30/20 17:01:40,76
01/30/20 17:01:50,75
01/30/20 17:01:55,76
01/30/20 17:02:05,75
01/30/20 17:02:20,75
01/30/20 17:02:30,77
01/30/20 17:02:40,80
01/30/20 17:02:45,82
01/30/20 17:02:55,80
01/30/20 17:03:05,79
01/30/20 17:03:10,77
01/30/20 17:03:20,76
01/30/20 17:03:30,75
01/30/20 17:03:45,75
01/30/20 17:03:50,75
01/30/20 17:03:55,76
01/30/20 17:04:05,74
01/30/20 17:04:11,74
01/30/20 17:04:21,75
01/30/20 17:04:26,76
01/30/20 17:04:41,76
01/30/20 17:04:51,77
01/30/20 17:04:56,79
01/30/20 17:05:01,77
01/30/20 17:05:06,77
01/30/20 17:05:16,74
01/30/20 17:05:21,73
01/30/20 17:05:26,74
01/30/20 17:05:31,75
01/30/20 17:05:36,74
01/30/20 17:05:41,75
01/30/20 17:05:46,76
01/30/20 17:05:56,78
01/30/20 17:06:06,76
01/30/20 17:06:11,74
01/30/20 17:06:21,76
01/30/20 17:06:26,76
01/30/20 17:06:31,76
01/30/20 17:06:36,77
01/30/20 17:06:51,77
01/30/20 17:06:56,78
01/30/20 17:07:11,79
01/30/20 17:07:16,78
01/30/20 17:07:21,77
01/30/20 17:07:26,77
01/30/20 17:07:31,76
01/30/20 17:07:36,78
01/30/20 17:07:41,79
01/30/20 17:07:46,78
01/30/20 17:07:51,76
01/30/20 17:07:56,74
01/30/20 17:08:01,75
01/30/20 17:08:11,76
01/30/20 17:08:16,74
01/30/20 17:08:31,74
01/30/20 17:08:36,75
01/30/20 17:08:46,75
01/30/20 17:08:51,74
01/30/20 17:09:01,75
01/30/20 17:09:11,74
01/30/20 17:09:26,75
01/30/20 17:09:31,76
01/30/20 17:09:36,74
01/30/20 17:09:41,73
01/30/20 17:09:46,72
01/30/20 17:09:51,71
01/30/20 17:09:56,72
01/30/20 17:10:11,72
01/30/20 17:10:16,74
01/30/20 17:10:21,75
01/30/20 17:10:27,73
01/30/20 17:10:32,69
01/30/20 17:10:37,68
01/30/20 17:10:52,71
01/30/20 17:10:57,73
01/30/20 17:11:02,77
01/30/20 17:11:07,76
01/30/20 17:11:12,73
01/30/20 17:11:17,71
01/30/20 17:11:27,72
01/30/20 17:11:32,76
01/30/20 17:11:37,74
01/30/20 17:11:52,74
01/30/20 17:11:57,72
01/30/20 17:12:12,72
01/30/20 17:12:22,74
01/30/20 17:12:27,75
01/30/20 17:12:32,77
01/30/20 17:12:37,75
01/30/20 17:12:42,73
01/30/20 17:12:47,70
01/30/20 17:12:52,69
01/30/20 17:12:57,70
01/30/20 17:13:02,69
01/30/20 17:13:07,68
01/30/20 17:13:17,70
01/30/20 17:13:22,71
01/30/20 17:13:27,71
01/30/20 17:13:42,71
01/30/20 17:13:47,72
01/30/20 17:14:02,71
01/30/20 17:14:12,70
01/30/20 17:14:27,70
01/30/20 17:14:42,70
01/30/20 17:14:57,70
01/30/20 17:15:12,70
01/30/20 17:15:27,70
01/30/20 17:15:42,70
01/30/20 17:15:47,67
01/30/20 17:15:52,66
01/30/20 17:15:57,65
01/30/20 17:16:20,65
01/30/20 20:26:26,70
01/30/20 20:27:02,70
01/30/20 20:27:07,70
01/30/20 20:27:12,75
01/30/20 20:27:17,82
01/30/20 20:27:32,82
01/30/20 20:27:47,85
01/30/20 20:27:57,84
01/30/20 20:28:02,79
01/30/20 20:28:12,78
01/30/20 20:28:17,77
01/30/20 21:47:27,70
01/30/20 21:48:42,70
01/30/20 21:48:47,70
01/30/20 21:48:57,85
01/30/20 21:49:02,73
01/30/20 21:49:07,83
01/30/20 21:49:12,77
01/30/20 21:49:17,73
01/30/20 21:49:22,71
01/30/20 21:49:37,71
01/30/20 21:49:52,71
01/30/20 21:49:57,75
01/30/20 21:50:12,75
01/30/20 21:51:13,77
01/30/20 21:51:18,78
01/30/20 21:51:23,85
01/30/20 21:51:28,87
01/30/20 21:51:33,85
01/30/20 21:51:38,84
01/30/20 21:51:53,84
01/30/20 21:52:03,86
01/30/20 21:52:08,90
01/30/20 21:52:13,92
01/30/20 21:52:18,93
01/30/20 21:52:23,94
01/30/20 21:52:28,95
01/30/20 21:52:33,96
01/30/20 21:52:43,97
01/30/20 21:52:53,96
01/30/20 21:53:08,96
01/30/20 21:53:23,96
01/30/20 21:53:38,96
01/30/20 21:53:48,97
01/30/20 21:53:53,98
01/30/20 21:54:03,100
01/30/20 21:54:08,102
01/30/20 21:54:13,103
01/30/20 21:54:18,102
01/30/20 21:54:23,101
01/30/20 21:54:38,101
01/30/20 21:54:43,100
01/30/20 21:54:48,99
01/30/20 21:54:53,98
01/30/20 21:54:58,99
01/30/20 21:55:03,97
01/30/20 21:55:13,96
01/30/20 21:55:18,94
01/30/20 21:55:23,93
01/30/20 21:55:28,88
01/30/20 21:55:33,86
01/30/20 21:55:38,88
01/30/20 21:55:43,91
01/30/20 21:55:48,92
01/30/20 21:55:53,99
01/30/20 21:55:58,100
01/30/20 21:56:03,96
01/30/20 21:56:08,88
01/30/20 21:56:13,87
01/30/20 21:56:23,89
01/30/20 21:56:28,92
01/30/20 21:56:33,97
01/30/20 21:56:38,98
01/30/20 21:56:48,99
01/30/20 21:56:53,107
01/30/20 21:56:58,102
01/30/20 21:57:03,94
01/30/20 21:57:08,92
01/30/20 21:57:13,93
01/30/20 21:57:18,96
01/30/20 21:57:23,97
01/30/20 21:57:28,98
01/30/20 21:57:33,95
01/30/20 21:57:38,92
01/30/20 21:57:53,97
01/30/20 21:57:58,100
01/30/20 21:58:03,101
01/30/20 21:58:08,94
01/30/20 21:58:13,93
01/30/20 21:58:18,96
01/30/20 21:58:23,98
01/30/20 21:58:28,100
01/30/20 21:58:33,98
01/30/20 21:58:38,93
01/30/20 21:58:43,92
